FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,Traveller_Need,Available
209,Sandfly Hall,Other,Longley,TAS,-42.9844979,147.1953998,24-hour access,TRUE
210,Wharf Area,Other,Currie,TAS,-39.92878924,143.845731,24-hour access,TRUE
211,Recreation Ground,Sporting facility,Currie,TAS,-39.93338501,143.8487447,24-hour access,TRUE
211,Recreation Ground,Sporting facility,Currie,TAS,-39.93338501,143.8487447,Accessible access,TRUE
212,Huxley Street,Other,Currie,TAS,-39.92967156,143.85056523,24-hour access,TRUE
212,Huxley Street,Other,Currie,TAS,-39.92967156,143.85056523,Accessible access,TRUE
213,Naracoopa,Park or reserve,Naracoopa,TAS,-39.91659952,144.1168393,24-hour access,TRUE
214,Pennys Lagoon,Park or reserve,Egg Lagoon,TAS,-39.65686252,144.0784021,24-hour access,TRUE
214,Pennys Lagoon,Park or reserve,Egg Lagoon,TAS,-39.65686252,144.0784021,Accessible access,TRUE
216,Esplanade,Car park,Strahan,TAS,-42.15516081,145.32597187,Accessible access,TRUE
216,Esplanade,Car park,Strahan,TAS,-42.15516081,145.32597187,Caravan support,TRUE
219,Sticht Street,Park or reserve,Queenstown,TAS,-42.08079925,145.5559733,Accessible access,TRUE
219,Sticht Street,Park or reserve,Queenstown,TAS,-42.08079925,145.5559733,Family support,TRUE
219,Sticht Street,Park or reserve,Queenstown,TAS,-42.08079925,145.5559733,Caravan support,TRUE
220,Victoria Street,Sporting facility,Tullah,TAS,-41.73807827,145.617007,Accessible access,TRUE
220,Victoria Street,Sporting facility,Tullah,TAS,-41.73807827,145.617007,Family support,TRUE
220,Victoria Street,Sporting facility,Tullah,TAS,-41.73807827,145.617007,Caravan support,TRUE
222,Agnes Street,Car park,Rosebery,TAS,-41.78026105,145.53877952,Accessible access,TRUE
222,Agnes Street,Car park,Rosebery,TAS,-41.78026105,145.53877952,Family support,TRUE
222,Agnes Street,Car park,Rosebery,TAS,-41.78026105,145.53877952,Caravan support,TRUE
