FacilityID,Name,FacilityType,Town,State,Latitude,Longitude,OpeningHours,Parking,ParkingAccessible,Accessible,BabyChange,BabyCareRoom,DumpPoint,Shower,DrinkingWater,MLAK24,PaymentRequired,Is_24_Hour
2459,"Cecil Hoskins Nature Reserve, Burradoo",Park or reserve,Burradoo,NSW,-34.53238122,150.3971292,OPEN: 24 hours,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2461,Old Hume Highway,Park or reserve,Berrima,NSW,-34.48685632,150.33835725,OPEN: 24 hours,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2462,Bundanoon Park,Park or reserve,Bundanoon,NSW,-34.65333959,150.30555978,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2465,"Hampden Park, Robertson",Park or reserve,Robertson,NSW,-34.5884024,150.59228756,OPEN: 24 hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
2466,Exeter Oval,Sporting facility,Exeter,NSW,-34.61099134,150.31670274,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2467,Burrawang Park,Park or reserve,Burrawang,NSW,-34.58661599,150.5119569,OPEN: Sat-Sun 9am-6pm,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2468,Bill O'Reilly Oval,Sporting facility,Wingello,NSW,-34.68995337,150.1614008,OPEN: 24 hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2469,Esplanade,Park or reserve,Esperance,WA,-33.86861479,121.892712,OPEN: Daylight hours,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2470,Taylor Street,Car park,Esperance,WA,-33.8658932,121.89403905,OPEN: Daylight hours,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2471,Returned Services League Park,Park or reserve,Esperance,WA,-33.86016682,121.89296412,OPEN: Daylight hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2472,Esplanade,Park or reserve,Esperance,WA,-33.86023206,121.89495368,OPEN: Daylight hours,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
